area	type	category	lat	lon
isola	commerciale	panchina	45.4813279	9.1952244
isola	commerciale	panchina	45.481354	9.1946061
isola	commerciale	panchina	45.4810586	9.1958208
isola	commerciale	panchina	45.4811105	9.1951257
isola	commerciale	panchina	45.4817007	9.1944352
isola	commerciale	panchina	45.4811072	9.195726
isola	commerciale	panchina	45.481126	9.1950906
isola	commerciale	panchina	45.4813695	9.194571
isola	commerciale	panchina	45.4815302	9.1942151
isola	commerciale	panchina	45.4816536	9.1945391
isola	commerciale	ristorante	45.4856989	9.1920191
isola	commerciale	ristorante	45.4823995	9.1933805
isola	commerciale	ristorante	45.4820111	9.1928663
isola	commerciale	farmacia	45.4801647	9.193457
isola	commerciale	pub	45.4801057	9.1935811
centro	commerciale	posta	45.46217	9.1995754
centro	commerciale	pub	45.4797332	9.1889733
centro	commerciale	ristorante	45.4786671	9.1892849
centro	commerciale	posta	45.4575393	9.1923557
centro	commerciale	taxi	45.4585604	9.1777453
centro	commerciale	farmacia	45.4586453	9.1773751
centro	commerciale	banca	45.4704356	9.1919786
centro	commerciale	taxi	45.4594025	9.1986904
centro	commerciale	acqua potabile	45.471925	9.1920231
centro	commerciale	casella della posta	45.4704644	9.1921309
centro	commerciale	posta	45.4730595	9.1897299
centro	commerciale	banca	45.4734146	9.1898415
centro	commerciale	bancomat	45.4575616	9.1874703
centro	commerciale	acqua potabile	45.4585147	9.1781836
centro	commerciale	fermata bus tram	45.456192	9.1867241
centro	commerciale	banca	45.4564002	9.1875679
centro	commerciale	ristorante	45.4595842	9.1774613
centro	commerciale	bar	45.4727632	9.192214
centro	commerciale	fermata bus tram	45.4577204	9.193159
centro	commerciale	fermata bus tram	45.4584922	9.1774194
centro	commerciale	fermata bus tram	45.4572427	9.1812712
centro	commerciale	fermata bus tram	45.4573893	9.1811507
centro	commerciale	acqua potabile	45.4602041	9.1967942
centro	commerciale	bar	45.4720749	9.1857399
centro	commerciale	farmacia	45.4628696	9.1967445
centro	commerciale	taxi	45.4665172	9.1977978
centro	commerciale	fermata bus tram	45.467646	9.1983594
centro	commerciale	fermata bus tram	45.456816	9.1829832
centro	commerciale	fermata bus tram	45.4552804	9.1956773
centro	commerciale	fermata bus tram	45.4559665	9.1877074
centro	commerciale	fermata bus tram	45.4559514	9.1955505
centro	commerciale	fermata bus tram	45.456152	9.1961411
centro	commerciale	fermata bus tram	45.4569413	9.1832193
centro	commerciale	fermata bus tram	45.4569668	9.1902022
centro	commerciale	fermata bus tram	45.4582619	9.1923397
centro	commerciale	fermata bus tram	45.4569204	9.1903718
centro	commerciale	fermata bus tram	45.4586429	9.178241
centro	commerciale	fermata bus tram	45.4702531	9.1974611
centro	commerciale	fermata bus tram	45.4693166	9.1987569
centro	commerciale	fermata bus tram	45.4732298	9.1908039
centro	commerciale	fermata bus tram	45.4718503	9.1957764
centro	commerciale	fermata bus tram	45.4724684	9.1944481
centro	commerciale	fermata bus tram	45.4655168	9.1982934
centro	commerciale	fermata bus tram	45.4657011	9.1998155
centro	commerciale	fermata bus tram	45.4709637	9.193724
centro	commerciale	posta	45.4589851	9.1813202
centro	commerciale	fermata bus tram	45.4570146	9.1809118
centro	commerciale	fermata bus tram	45.4568475	9.1808403
centro	commerciale	fermata bus tram	45.4727506	9.1951783
centro	commerciale	banca	45.4626465	9.1980297
centro	commerciale	fermata bus tram	45.4628168	9.1975269
centro	commerciale	fermata bus tram	45.4625697	9.1978775
centro	commerciale	farmacia	45.4633628	9.1987561
centro	commerciale	fermata bus tram	45.4557943	9.1873988
centro	commerciale	fermata bus tram	45.4562539	9.1874189
centro	commerciale	fermata bus tram	45.4541734	9.1870363
centro	commerciale	fermata bus tram	45.4600616	9.1808383
centro	commerciale	taxi	45.4728598	9.1952722
centro	commerciale	taxi	45.4709396	9.1935584
centro	commerciale	farmacia	45.4730888	9.195189
centro	commerciale	telefono pubblico	45.4725667	9.1952755
centro	commerciale	bar	45.4615592	9.194869
centro	commerciale	bar	45.4615207	9.1949708
centro	commerciale	fermata bus tram	45.4631769	9.1977068
centro	commerciale	monumento	45.4631594	9.1972215
centro	commerciale	taxi	45.4632544	9.1978899
centro	commerciale	telefono pubblico	45.4632759	9.197363
centro	commerciale	banca	45.4631376	9.1997585
centro	commerciale	bar	45.4633048	9.1990533
centro	commerciale	fermata bus tram	45.4628254	9.1982917
centro	commerciale	fermata bus tram	45.4628131	9.1984798
centro	commerciale	banca	45.4634778	9.1982091
centro	commerciale	fermata bus tram	45.4586756	9.1945567
centro	commerciale	fermata bus tram	45.4603967	9.1962006
centro	commerciale	fermata bus tram	45.4672997	9.2005019
centro	commerciale	fermata bus tram	45.4652583	9.2003362
centro	commerciale	farmacia	45.4687959	9.1988311
